,Season,Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
438,2013,Nikolai Khabibulin,FA,4,1,0,1,5.0,14,74,60,0.8109999999999999,0,168
439,2013,John Curry,FA,2,1,0,0,3.0,4,57,53,0.93,0,80
440,2013,Jason LaBarbera,FA,7,1,3,0,3.3,19,146,127,0.87,0,348
441,2013,Nathan Lieuwen,FA,7,1,4,0,3.0,18,191,173,0.9059999999999999,0,363
442,2013,Matt Hackett,FA,8,1,6,1,3.1,22,239,217,0.9079999999999999,0,426
443,2013,Mike McKenna,FA,4,1,1,1,3.0,11,114,103,0.904,0,219
444,2013,Mark Visentin,FA,1,0,1,0,3.1,3,32,29,0.9059999999999999,0,59
445,2013,Cristopher Nilstorp,FA,1,0,0,0,4.6,3,17,14,0.8240000000000001,0,39
446,2013,Cal Heeter,TOR,1,0,0,1,4.8,5,38,33,0.868,0,64
447,2013,Jack Campbell,TOR,1,0,1,0,6.0,6,47,41,0.872,0,60
448,2013,Sami Aittokallio,FA,1,0,1,0,4.5,3,18,15,0.833,0,40
449,2013,Connor Knapp,FA,2,0,0,1,3.2,4,32,28,0.875,0,77
450,2013,Cedrick Desjardins,FA,1,0,1,0,6.7,2,13,11,0.846,0,18
451,2013,Magnus Hellberg,FA,1,0,0,0,5.0,1,4,3,0.75,0,12
452,2013,Drew MacIntyre,FA,2,0,1,0,2.6,4,51,47,0.922,0,95
453,2013,Richard Bachman,VAN,3,0,2,1,3.1,7,83,76,0.9159999999999999,0,139
454,2013,Kent Simpson,COL,1,0,0,0,6.0,2,7,5,0.7140000000000001,0,20
455,2013,Martin Biron,FA,2,0,1,0,7.8,9,38,29,0.763,0,71
456,2013,Nathan Lawson,FA,1,0,0,0,10.9,2,10,8,0.8,0,12
457,2013,Andrew Hammond,BUF,1,0,0,0,0.0,0,11,11,1.0,0,35
458,2013,Joacim Eriksson,FA,1,0,0,0,10.0,6,31,25,0.8059999999999999,0,36
459,2010,Carey Price,MON,72,38,28,6,2.4,165,2147,1982,0.9229999999999999,8,4206
460,2010,Roberto Luongo,FA,60,38,15,7,2.1,126,1753,1627,0.9279999999999999,4,3590
461,2010,Jimmy Howard,DET,63,37,17,5,2.8,168,1830,1662,0.9079999999999999,2,3615
462,2010,Miikka Kiprusoff,FA,71,37,24,6,2.6,182,1935,1753,0.9059999999999999,6,4156
463,2010,Cam Ward,FA,74,37,26,10,2.6,184,2375,2191,0.9229999999999999,4,4318
464,2010,Ilya Bryzgalov,FA,68,36,20,10,2.5,168,2125,1957,0.9209999999999999,7,4060
465,2010,Henrik Lundqvist,NYR,68,36,27,5,2.3,152,1965,1813,0.9229999999999999,11,4007
466,2010,Marc-Andre Fleury,VGK,65,36,20,5,2.3,143,1742,1599,0.9179999999999999,3,3695
467,2010,Tim Thomas,FA,57,35,11,9,2.0,112,1811,1699,0.938,9,3364
468,2010,Antti Niemi,FA,60,35,18,6,2.4,140,1741,1601,0.92,6,3524
469,2010,Jonathan Quick,LA,61,35,22,3,2.3,134,1631,1497,0.9179999999999999,6,3591
470,2010,Ryan Miller,ANH,66,34,22,8,2.6,165,1964,1799,0.9159999999999999,5,3829
471,2010,Kari Lehtonen,FA,69,34,24,11,2.6,175,2043,1868,0.914,3,4119
472,2010,Corey Crawford,CHI,57,33,18,6,2.3,128,1545,1417,0.917,4,3337
473,2010,Pekka Rinne,NSH,64,33,22,9,2.1,134,1905,1771,0.93,6,3789
474,2010,Sergei Bobrovsky,FLA,54,28,13,8,2.6,130,1527,1397,0.915,0,3017
475,2010,Jaroslav Halak,BOS,57,27,21,7,2.5,136,1518,1382,0.91,7,3294
476,2010,Michal Neuvirth,FA,48,27,12,4,2.5,110,1283,1173,0.914,4,2689
477,2010,Jonas Hiller,FA,49,26,16,3,2.6,114,1493,1379,0.924,5,2672
