,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
David Legwand,FA,C,80,9,18,27,1,32,91,0,6,6,0,2,43,25
Marc-Edouard Vlasic,SJ,D,70,9,14,23,12,23,98,3,0,3,0,0,51,112
Niklas Kronwall,FA,D,80,9,35,44,-4,40,101,1,3,20,0,0,91,106
Casey Cizikas,NYI,C,70,9,9,18,-2,24,90,2,0,1,2,0,144,50
Nick Spaling,FA,C,82,9,18,27,-2,26,90,0,1,0,0,0,134,45
Daniel Winnik,FA,LW,79,9,25,34,23,27,97,1,0,0,0,1,124,69
Sean Bergenheim,FA,LW,56,9,10,19,-2,40,108,2,0,2,0,0,73,13
Kevin Klein,FA,D,65,9,17,26,24,25,76,4,0,0,0,0,126,115
Kyle Brodziak,FA,C,73,9,11,20,-6,47,86,0,0,0,1,0,56,63
Kevin Connauton,COL,D,62,9,12,21,5,35,96,4,0,3,0,0,83,48
Rickard Rakell,ANH,C,71,9,22,31,6,10,105,1,2,7,0,0,79,22
Jared Spurgeon,MIN,D,66,9,16,25,3,6,128,2,3,3,0,0,48,124
Patrick Maroon,TB,LW,71,9,25,34,-5,82,120,1,1,6,0,0,120,10
Anton Stralman,FLA,D,82,9,30,39,22,26,138,0,2,12,0,0,104,77
Dan Boyle,FA,D,65,9,11,20,18,20,116,3,3,5,0,0,49,79
Stephen Weiss,FA,C,52,9,16,25,-2,16,52,1,3,6,0,0,19,12
Vladislav Namestnikov,COL,C,43,9,7,16,1,13,46,3,1,1,0,0,41,13
R.J. Umberger,FA,LW,67,9,6,15,-9,19,96,0,2,0,0,0,114,40
Johnny Boychuk,NYI,D,72,9,26,35,15,14,192,1,5,10,0,1,171,149
Ryan Ellis,NSH,D,58,9,18,27,8,27,118,0,2,4,0,0,41,74
Erik Condra,COL,RW,68,9,14,23,13,30,106,1,0,0,1,1,33,53
Mikhail Grabovski,FA,C,51,9,10,19,3,8,81,2,0,1,0,0,11,19
Chris VandeVelde,FA,C,72,9,6,15,-6,28,70,0,0,0,0,0,121,46
Matt Irwin,ANH,D,53,8,11,19,3,18,93,1,1,2,0,0,55,65
Mikael Granlund,NSH,C,68,8,31,39,17,20,99,2,0,8,0,0,47,45
Taylor Beck,FA,LW,62,8,8,16,-4,18,78,3,2,0,0,0,61,23
Rasmus Ristolainen,BUF,D,78,8,12,20,-32,26,121,0,4,5,0,0,118,136
Matt Fraser,FA,RW,60,8,4,12,-16,17,92,1,1,0,0,0,111,20
Markus Granlund,FA,C,48,8,10,18,-4,16,65,1,1,1,0,0,44,24
Leo Komarov,NYI,LW,62,8,18,26,0,18,84,1,0,1,1,2,250,25
Scottie Upshall,FA,LW,63,8,7,15,-8,28,93,2,0,1,0,0,128,27
Jussi Jokinen,FA,LW,81,8,36,44,-2,34,134,0,2,7,0,0,52,50
P.A. Parenteau,FA,RW,56,8,14,22,0,30,97,1,3,1,0,0,32,19
Alexander Edler,VAN,D,74,8,23,31,13,54,175,2,5,9,0,0,94,126
Marcus Foligno,MIN,LW,57,8,12,20,-5,50,66,0,0,1,0,1,193,48
